"","Station_ID","UTM_X","UTM_Y","days","Subpop","counts"
"138","PGS-38",1111893.4224774,942444.720381759,354,"Chilcotin",0
"139","PGS-39",1204397.46787264,968970.941876328,357,"Chilcotin",0
"140","PGS-40",1198089.36872206,937000.274223288,355,"Chilcotin",0
"141","PGS-41",1155495.39724954,939877.083102686,350,"Chilcotin",0
"142","PGS-42",1170324.39644438,953004.26175461,347,"Chilcotin",0
"143","PGS-43",1098666.55513963,928066.243754937,353,"Chilcotin",0
"144","PGS-44",1198783.33852963,946914.750093902,355,"Chilcotin",0
"145","PGS-45",1123329.39653224,980960.125385607,352,"Chilcotin",0
"146","PGS-46",1135625.25747213,944352.957717591,352,"Chilcotin",2
"147","PGS-47",1195297.03558761,954014.135448975,352,"Chilcotin",2
"148","PGS-48",1123979.58312447,974755.768873584,352,"Chilcotin",0
"149","ITCHA1-01",1041464.45523891,856459.475065758,454,"Chilcotin",0
"150","ITCHA1-02",1043689.31666848,856479.32251729,659,"Chilcotin",0
"151","ITCHA1-03",1046117.3972847,856401.778585573,667,"Chilcotin",1
"152","ITCHA1-04",1047797.33402423,856976.019854682,428,"Chilcotin",2
"153","ITCHA1-05",1050704.96511782,856169.452913611,476,"Chilcotin",0
"154","ITCHA1-06",1052523.08498246,856401.045971784,277,"Chilcotin",0
"155","ITCHA1-07",1041234.03879644,859714.511187395,690,"Chilcotin",0
"156","ITCHA1-08",1043796.81270557,859458.49632998,319,"Chilcotin",1
"157","ITCHA1-09",1046153.62785601,859625.726651521,622,"Chilcotin",1
"158","ITCHA1-10",1048176.57712555,859478.413881699,706,"Chilcotin",1
"159","ITCHA1-11",1050334.06564595,859366.839224507,287,"Chilcotin",0
"160","ITCHA1-12",1052556.83346698,859457.740229328,701,"Chilcotin",1
"161","ITCHA1-13",1041413.29331279,862348.507368165,704,"Chilcotin",1
"162","ITCHA1-14",1044035.10181963,862840.498061109,506,"Chilcotin",2
"163","ITCHA1-15",1046057.4778663,862603.054635786,496,"Chilcotin",0
"164","ITCHA1-16",1049027.47929786,861918.77879501,697,"Chilcotin",0
"165","ITCHA1-17",1050095.58916768,862822.258800674,703,"Chilcotin",1
"166","ITCHA1-18",1052049.74697968,862698.185744266,705,"Chilcotin",1
"167","ITCHA1-19",1041448.89237836,865996.379869932,681,"Chilcotin",0
"168","ITCHA1-20",1043673.19394125,865592.373055138,610,"Chilcotin",0
"169","ITCHA1-21",1046029.45724102,865503.009894219,403,"Chilcotin",0
"170","ITCHA1-22",1048253.15272028,865223.834266368,453,"Chilcotin",0
"171","ITCHA1-23",1050537.08239855,865637.936734309,336,"Chilcotin",0
"172","ITCHA1-24",1052691.85450613,865527.424367748,698,"Chilcotin",1
"173","ITCHA1-25",1041494.30397526,868506.61164834,696,"Chilcotin",0
"174","ITCHA1-26",1043646.09531353,868548.162721245,658,"Chilcotin",0
"175","ITCHA1-27",1045934.18466941,868402.364767492,704,"Chilcotin",0
"176","ITCHA1-28",1048018.30100689,868489.859453259,504,"Chilcotin",1
"177","ITCHA1-29",1050373.11565261,868413.797233865,702,"Chilcotin",0
"178","ITCHA1-30",1052526.75230571,868292.054485273,704,"Chilcotin",0
"179","ITCHA2-02",1060235.32430944,849052.216952301,678,"Chilcotin",0
"180","ITCHA2-03",1062126.15935585,849065.263257372,704,"Chilcotin",0
"181","ITCHA2-04",1064154.13769151,848924.737673211,688,"Chilcotin",0
"182","ITCHA2-05",1066110.09062764,849118.701203603,678,"Chilcotin",0
"183","ITCHA2-06",1067934.18140089,849077.350974939,702,"Chilcotin",0
"184","ITCHA2-07",1058437.24362931,852498.832170233,692,"Chilcotin",0
"185","ITCHA2-08",1060193.02435821,852409.091562789,703,"Chilcotin",0
"186","ITCHA2-09",1062013.60659575,852532.768855832,605,"Chilcotin",0
"187","ITCHA2-10",1064173.57014558,852505.526826737,698,"Chilcotin",0
"188","ITCHA2-11",1066062.89406949,852531.282775145,691,"Chilcotin",0
"189","ITCHA2-12",1067954.27010445,852412.806393665,630,"Chilcotin",0
"190","ITCHA2-13",1058259.41251558,856010.284760281,393,"Chilcotin",0
"191","ITCHA2-14",1060353.01341858,855768.588366627,699,"Chilcotin",0
"192","ITCHA2-15",1062307.60314639,855860.628742166,702,"Chilcotin",0
"193","ITCHA2-16",1064129.22070703,855806.671630795,702,"Chilcotin",0
"194","ITCHA2-17",1066083.89598275,855889.105647326,702,"Chilcotin",0
"195","ITCHA2-18",1067971.40503252,855949.074439712,632,"Chilcotin",0
"196","ITCHA2-19",1058419.0732269,859492.473061408,373,"Chilcotin",0
"197","ITCHA2-20",1060240.9332936,859303.194219871,489,"Chilcotin",0
"198","ITCHA2-21",1062259.27100189,859563.362812404,664,"Chilcotin",0
"199","ITCHA2-22",1064079.77603465,859487.079515108,524,"Chilcotin",0
"200","ITCHA2-23",1066102.79282004,859391.982534681,320,"Chilcotin",0
"201","ITCHA2-24",1067989.71076426,859396.195524807,700,"Chilcotin",0
"202","ITCHA2-25",1058378.77577479,862782.654650128,732,"Chilcotin",0
"203","ITCHA2-26",1060264.31731023,862783.811382029,570,"Chilcotin",0
"204","ITCHA2-27",1062216.761126,862820.05186316,360,"Chilcotin",0
